Prompt,Version,content_urls,style_urls,char_urls,content_alt,style_alt,char_alt,palette,mood,texture,subject,action,style_or_type,place,time,parameters,tension_note,meta_json
"https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA 70s futuristic glass sculptures in the desert in the evening, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA ,,,BROKEN_URL | BROKEN_URL | Blue spheres floating above a dirt road in a grassy landscape. | Vibrant artwork depicting a mythical figure battling a serpent under a moon.,,,vibrant,futuristic,glass,sculptures,,70s,desert,evening,"kodak portra, 35mm lens",,"{
  ""palette"":""vibrant"",
  ""mood"":""futuristic"",
  ""texture"":""glass"",
  ""subject"":""sculptures"",
  ""action"":"""",
  ""style_or_type"":""70s"",
  ""place"":""desert"",
  ""time"":""evening"",
  ""parameters"":""kodak portra, 35mm lens"",
  ""tension_note"":""""
}"
"https://s.mj.run/Vk8P9m2f0js https://s.mj.run/rCzHW4y1MtY https://s.mj.run/UNKQMha_20c https://s.mj.run/9HzEX9ogLHw https://s.mj.run/vMuDnN51YZ8 70s photograph of an abstract luminous layered architectural sculpture inspired by gustav klimt in the tuscan country side after dusk, cypress trees, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/Vk8P9m2f0js https://s.mj.run/rCzHW4y1MtY https://s.mj.run/UNKQMha_20c https://s.mj.run/9HzEX9ogLHw https://s.mj.run/vMuDnN51YZ8 ,,,"Colorful abstract waves with circular shapes and vibrant gradients. | Colorful abstract floral pattern with vibrant shapes and symmetry. | Lush green foliage with stylized leaves and two small birds. | Colorful, abstract flowers surrounded by spider webs on a dark background. | Vibrant flowers and abstract shapes against a dark background.",,,vibrant,abstract,luminous,sculpture,,70s photograph,Tuscan countryside,after dusk,Kodak Portra,inspired by Klimt,"{
  ""palette"":""vibrant"",
  ""mood"":""abstract"",
  ""texture"":""luminous"",
  ""subject"":""sculpture"",
  ""action"":"""",
  ""style_or_type"":""70s photograph"",
  ""place"":""Tuscan countryside"",
  ""time"":""after dusk"",
  ""parameters"":""Kodak Portra"",
  ""tension_note"":""inspired by Klimt""
}"
https://s.mj.run/g8mAlbXpRMk https://s.mj.run/rsAvGzdU0Gk https://s.mj.run/PeLQN9T3NG4 https://s.mj.run/yQZ6LixPB6o https://s.mj.run/st7SwI54mqs elusive female fashion model in a mountainous landscape --ar 4:5 --v 6,6,https://s.mj.run/g8mAlbXpRMk https://s.mj.run/rsAvGzdU0Gk https://s.mj.run/PeLQN9T3NG4 https://s.mj.run/yQZ6LixPB6o https://s.mj.run/st7SwI54mqs ,,,"A figure draped in sheer fabric against a serene ocean backdrop. | A figure partially obscured by flowing blue fabric against a soft background. | Colorful fish swimming among vibrant sea anemones in clear water. | Blue sun with wavy lines on a dark background, featuring a crescent moon. | Layered mountains shrouded in mist, creating a serene atmosphere.",,,blue,serene,sheer,female model,elusive,fashion,mountains,,4:5,,"{
  ""palette"": ""blue"",
  ""mood"": ""serene"",
  ""texture"": ""sheer"",
  ""subject"": ""female model"",
  ""action"": ""elusive"",
  ""style_or_type"": ""fashion"",
  ""place"": ""mountains"",
  ""time"": """",
  ""parameters"": ""4:5"",
  ""tension_note"": """"
}"
"https://s.mj.run/D3eMxQLmrz4 https://s.mj.run/75nPSGZpSKU https://s.mj.run/l6360DrUvjw https://s.mj.run/uPg3upQc2o8 https://s.mj.run/tLY5RPzlD1w https://s.mj.run/PHEMBPHtXRU https://s.mj.run/nMWoIiBRYZ4 https://s.mj.run/HC1XNBPQYGo a 70s film photograph of a futuristic oslo with organically shaped path ways in strong colors by the water in harmony with nature, birds eye view, people on the gras and greenery on all roofs, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/D3eMxQLmrz4 https://s.mj.run/75nPSGZpSKU https://s.mj.run/l6360DrUvjw https://s.mj.run/uPg3upQc2o8 https://s.mj.run/tLY5RPzlD1w https://s.mj.run/PHEMBPHtXRU https://s.mj.run/nMWoIiBRYZ4 https://s.mj.run/HC1XNBPQYGo ,,,Modern architecture surrounded by lush greenery and pathways. | Dark figure emerging from grassy mounds under a cloudy sky. | Curved stone walls with narrow windows creating a serene atmosphere. | Modern wooden house entrance with glass panels and grassy surroundings. | Wooden interior of a modern auditorium with layered ceiling design. | Vibrant illustration of a flower with colorful petals and leaves. | BROKEN_URL | Modern buildings with illuminated windows beside a calm waterway.,,,strong colors,serene,organic,modern architecture,people relaxing,70s film,Oslo,futuristic,--ar 4:5 --v 6,harmony with nature,"{
  ""palette"":""strong colors"",
  ""mood"":""serene"",
  ""texture"":""organic"",
  ""subject"":""modern architecture"",
  ""action"":""people relaxing"",
  ""style_or_type"":""70s film"",
  ""place"":""Oslo"",
  ""time"":""futuristic"",
  ""parameters"":""--ar 4:5 --v 6"",
  ""tension_note"":""harmony with nature""
}"
"https://s.mj.run/D3eMxQLmrz4 https://s.mj.run/75nPSGZpSKU https://s.mj.run/l6360DrUvjw https://s.mj.run/uPg3upQc2o8 https://s.mj.run/tLY5RPzlD1w a film photograph of a city street in oslo with organically shaped wooden architecture in harmony with nature, restaurants and people in the evening, birds eye view, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/D3eMxQLmrz4 https://s.mj.run/75nPSGZpSKU https://s.mj.run/l6360DrUvjw https://s.mj.run/uPg3upQc2o8 https://s.mj.run/tLY5RPzlD1w ,,,Modern architecture surrounded by lush greenery and pathways. | Dark figure emerging from grassy mounds under a cloudy sky. | Curved stone walls with narrow windows creating a serene atmosphere. | Modern wooden house entrance with glass panels and grassy surroundings. | Wooden interior of a modern auditorium with layered ceiling design.,,,natural,serene,wooden,city street,dining,film,Oslo,evening,Kodak Portra,,"{
  ""palette"": ""natural"",
  ""mood"": ""serene"",
  ""texture"": ""wooden"",
  ""subject"": ""city street"",
  ""action"": ""dining"",
  ""style_or_type"": ""film"",
  ""place"": ""Oslo"",
  ""time"": ""evening"",
  ""parameters"": ""Kodak Portra"",
  ""tension_note"": """"
}"
"https://s.mj.run/WabncbLPcJw 70s surreal photograph on film of a hill with colorful buildings, plants, animals and people at sunset, waterfalls in between buildings, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/WabncbLPcJw ,,,Colorful intricate buildings with plants and animals throughout the scene.,,,colorful,surreal,film,buildings,none,70s,hill,sunset,--ar 4:5 --v 6,,"{
  ""palette"":""colorful"",
  ""mood"":""surreal"",
  ""texture"":""film"",
  ""subject"":""buildings"",
  ""action"":""none"",
  ""style_or_type"":""70s"",
  ""place"":""hill"",
  ""time"":""sunset"",
  ""parameters"":""--ar 4:5 --v 6"",
  ""tension_note"":""""
}"
"https://s.mj.run/cgcwOGn6Lp4 https://s.mj.run/clmzmFnibY4 https://s.mj.run/4SwfRdybG0U https://s.mj.run/Thw9szseXfo https://s.mj.run/aG_zLDmG5gg 70s surreal fashion photograph of a luminous beautiful model coming out of a starry ocean at night, kodak porta --ar 4:5 --v 6",6,https://s.mj.run/cgcwOGn6Lp4 https://s.mj.run/clmzmFnibY4 https://s.mj.run/4SwfRdybG0U https://s.mj.run/Thw9szseXfo https://s.mj.run/aG_zLDmG5gg ,,,"BROKEN_URL | Dark cliffs framing shimmering blue water under a night sky. | A figure draped in a shimmering, reflective fabric against a dark background. | BROKEN_URL | BROKEN_URL",,,blue,surreal,shimmering,model,emerging,fashion,ocean,night,--ar 4:5 --v 6,,"{
  ""palette"":""blue"",
  ""mood"":""surreal"",
  ""texture"":""shimmering"",
  ""subject"":""model"",
  ""action"":""emerging"",
  ""style_or_type"":""fashion"",
  ""place"":""ocean"",
  ""time"":""night"",
  ""parameters"":""--ar 4:5 --v 6"",
  ""tension_note"":""""
}"
"https://s.mj.run/5zbX1rI9XQQ https://s.mj.run/XI8VNAUjNCg 70s art photograph shot on film of an art installation with luminous organically shaped sculpture in a stream of water in a large museum hall at night with spectators on the sides, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/5zbX1rI9XQQ https://s.mj.run/XI8VNAUjNCg ,,,"A figure floats in a waterfall surrounded by green hills. | Colorful, textured mountain-like formations against a dark background.",,,colorful,luminous,textured,sculpture,floating,70s art,museum,night,kodak portra,,"{
  ""palette"":""colorful"",
  ""mood"":""luminous"",
  ""texture"":""textured"",
  ""subject"":""sculpture"",
  ""action"":""floating"",
  ""style_or_type"":""70s art"",
  ""place"":""museum"",
  ""time"":""night"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/pDal4noYuoA https://s.mj.run/7tUo8HC5NSg a photograph of a gloomy forest at dusk with a large oak of gold, shot on expired 35mm kodak portra film --ar 4:5 --stylize 500 --v 6",6,https://s.mj.run/pDal4noYuoA https://s.mj.run/7tUo8HC5NSg ,,,A figure in a pink robe stands before glowing golden foliage. | Glittering golden branches against a dark background.,,,"gold, dark",gloomy,film,forest,,photograph,forest,dusk,--ar 4:5 --stylize 500 --v 6,,"{
  ""palette"":""gold, dark"",
  ""mood"":""gloomy"",
  ""texture"":""film"",
  ""subject"":""forest"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""forest"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --stylize 500 --v 6"",
  ""tension_note"":""""
}"
"https://s.mj.run/XQxqkHX5KEo https://s.mj.run/rNYAWn_h_TM https://s.mj.run/1Iu99hipmvI https://s.mj.run/eb_bFqhEjxo https://s.mj.run/ggZH-8GTEs4 https://s.mj.run/uyVjoM8Rtd8 surreal fashion shoot with asian wearing a long gold dress by a lake in a gloomy forest at dusk, shot on expired 35mm kodak portra film --ar 4:5 --v 6",6,https://s.mj.run/XQxqkHX5KEo https://s.mj.run/rNYAWn_h_TM https://s.mj.run/1Iu99hipmvI https://s.mj.run/eb_bFqhEjxo https://s.mj.run/ggZH-8GTEs4 https://s.mj.run/uyVjoM8Rtd8 ,,,"BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | A close-up portrait surrounded by white flowers, soft and serene atmosphere.",,,gold,gloomy,soft,asian model,posing,surreal fashion,lake in forest,dusk,expired film,,"{
  ""palette"":""gold"",
  ""mood"":""gloomy"",
  ""texture"":""soft"",
  ""subject"":""asian model"",
  ""action"":""posing"",
  ""style_or_type"":""surreal fashion"",
  ""place"":""lake in forest"",
  ""time"":""dusk"",
  ""parameters"":""expired film"",
  ""tension_note"":""""
}"
"https://s.mj.run/eb_bFqhEjxo https://s.mj.run/ggZH-8GTEs4 https://s.mj.run/uyVjoM8Rtd8 https://s.mj.run/0hCSzXlbFak https://s.mj.run/wzBLwqyGZJo conceptual fashion shoot with two asian models swimming underwater with a dress made of gold, shot on expired 35mm kodak portra film --ar 4:5 --v 6",6,https://s.mj.run/eb_bFqhEjxo https://s.mj.run/ggZH-8GTEs4 https://s.mj.run/uyVjoM8Rtd8 https://s.mj.run/0hCSzXlbFak https://s.mj.run/wzBLwqyGZJo ,,,"BROKEN_URL | BROKEN_URL | A close-up portrait surrounded by white flowers, soft and serene atmosphere. | A person partially submerged in dark water with sandy texture. | BROKEN_URL",,,gold,serene,sandy,models,swimming,conceptual fashion,underwater,,expired film,,"{
  ""palette"": ""gold"",
  ""mood"": ""serene"",
  ""texture"": ""sandy"",
  ""subject"": ""models"",
  ""action"": ""swimming"",
  ""style_or_type"": ""conceptual fashion"",
  ""place"": ""underwater"",
  ""time"": """",
  ""parameters"": ""expired film"",
  ""tension_note"": """"
}"
"https://s.mj.run/yCnRKHKTqT8 https://s.mj.run/yCXO_1Vi0jQ https://s.mj.run/MUhIfkbFSgY retro futuristic villa with white drapes in a 70s sci-fi movie set to the french riviera at dawn, people on a terrasse, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/yCnRKHKTqT8 https://s.mj.run/yCXO_1Vi0jQ https://s.mj.run/MUhIfkbFSgY ,,,"BROKEN_URL | Sunset view through a rocky arch, ocean and sky blend softly. | BROKEN_URL",,,soft,nostalgic,smooth,villa,gathering,retro futuristic,French Riviera,dawn,--ar 4:5 --v 6,,"{
  ""palette"":""soft"",
  ""mood"":""nostalgic"",
  ""texture"":""smooth"",
  ""subject"":""villa"",
  ""action"":""gathering"",
  ""style_or_type"":""retro futuristic"",
  ""place"":""French Riviera"",
  ""time"":""dawn"",
  ""parameters"":""--ar 4:5 --v 6"",
  ""tension_note"":""""
}"
"https://s.mj.run/G2JjAZT6nDo https://s.mj.run/inxcjn3AYLQ pink and gold art installation with an immersive room in a large museum hall with spectators in it, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/G2JjAZT6nDo https://s.mj.run/inxcjn3AYLQ ,,,BROKEN_URL | BROKEN_URL,,,"pink, gold",immersive,,art installation,spectating,contemporary,museum,,--ar 4:5 --v 6,,"{
  ""palette"": ""pink, gold"",
  ""mood"": ""immersive"",
  ""texture"": """",
  ""subject"": ""art installation"",
  ""action"": ""spectating"",
  ""style_or_type"": ""contemporary"",
  ""place"": ""museum"",
  ""time"": """",
  ""parameters"": ""--ar 4:5 --v 6"",
  ""tension_note"": """"
}"
"https://s.mj.run/G2JjAZT6nDo pink and gold art installation with a portal in a large museum hall with spectators walking in it, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/G2JjAZT6nDo ,,,BROKEN_URL,,,"pink, gold",,,art installation,walking,,museum hall,,--ar 4:5 --v 6,,"{
  ""palette"": ""pink, gold"",
  ""mood"": """",
  ""texture"": """",
  ""subject"": ""art installation"",
  ""action"": ""walking"",
  ""style_or_type"": """",
  ""place"": ""museum hall"",
  ""time"": """",
  ""parameters"": ""--ar 4:5 --v 6"",
  ""tension_note"": """"
}"
"https://s.mj.run/8yE1SlqAs5c https://s.mj.run/S67Lyy3hQkQ 70s art photograph of a flower sculpture in a surreal layered space of mountains and a red sun, close-up, shot on kodak portra --ar 4:5 --v 6",6,https://s.mj.run/8yE1SlqAs5c https://s.mj.run/S67Lyy3hQkQ ,,,BROKEN_URL | BROKEN_URL,,,red,surreal,layered,flower sculpture,,70s art,mountains,,--ar 4:5 --v 6,,"{
  ""palette"":""red"",
  ""mood"":""surreal"",
  ""texture"":""layered"",
  ""subject"":""flower sculpture"",
  ""action"":"""",
  ""style_or_type"":""70s art"",
  ""place"":""mountains"",
  ""time"":"""",
  ""parameters"":""--ar 4:5 --v 6"",
  ""tension_note"":""""
}"
"https://s.mj.run/TlKzPbjYMYk https://s.mj.run/eSw0h-rUXxg fashion model flying across Parisian rooftops during sunset, 55m lens, kodak portra, --ar 4:5 --v 6",6,https://s.mj.run/TlKzPbjYMYk https://s.mj.run/eSw0h-rUXxg ,,,BROKEN_URL | BROKEN_URL,,,sunset,dynamic,soft,fashion model,flying,photography,Paris,sunset,--ar 4:5 --v 6,,"{
  ""palette"": ""sunset"",
  ""mood"": ""dynamic"",
  ""texture"": ""soft"",
  ""subject"": ""fashion model"",
  ""action"": ""flying"",
  ""style_or_type"": ""photography"",
  ""place"": ""Paris"",
  ""time"": ""sunset"",
  ""parameters"": ""--ar 4:5 --v 6"",
  ""tension_note"": """"
}"
"https://s.mj.run/8z_r82f3GFs a 70s surrealist photograph of a woman in a mountainous landscape at dusk with a very long dress, kodak portra --ar 4:5 --v 6",6,https://s.mj.run/8z_r82f3GFs ,,,"A person partially hidden behind a blue, textured garment with flowers.",,,blue,surreal,textured,woman,,photograph,mountains,dusk,--ar 4:5 --v 6,,"{
  ""palette"":""blue"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""woman"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""mountains"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --v 6"",
  ""tension_note"":""""
}"
"https://s.mj.run/5Rk08QQQXUI https://s.mj.run/DrwdDcfwz3w https://s.mj.run/M2lKIRrr-I8 https://s.mj.run/khOf8VmaKGM 70s surrealistic still life shoot of an organically shaped sculpture in a retro futuristic space, james turell, kodak portra --ar 4:5 --style 7sy0cemfs9 --v 5.2",5.2,https://s.mj.run/5Rk08QQQXUI https://s.mj.run/DrwdDcfwz3w https://s.mj.run/M2lKIRrr-I8 https://s.mj.run/khOf8VmaKGM ,,,"Sleek, cream-colored sports car displayed in a minimalist setting. | BROKEN_URL | Close-up of a delicate orchid flower with intricate patterns. | A person in colorful attire poses on a white background.",,,cream,surreal,smooth,sculpture,,retro futuristic,minimalist setting,70s,Kodak Portra,,"{
  ""palette"": ""cream"",
  ""mood"": ""surreal"",
  ""texture"": ""smooth"",
  ""subject"": ""sculpture"",
  ""action"": """",
  ""style_or_type"": ""retro futuristic"",
  ""place"": ""minimalist setting"",
  ""time"": ""70s"",
  ""parameters"": ""Kodak Portra"",
  ""tension_note"": """"
}"
"https://s.mj.run/edsChgnqKAU https://s.mj.run/5g68H0IkBNo https://s.mj.run/QDP9S8pLF3s https://s.mj.run/5JPPETIZpp4 https://s.mj.run/wjIxp9HJtdo https://s.mj.run/K6vqRPMutgA https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 35mm 70s photography of a retro futuristic sports car on the french coast early evening, a scene from a spy movie, kodak portra --ar 4:5 --style 1U48Gcm4I --v 5.2",5.2,https://s.mj.run/edsChgnqKAU https://s.mj.run/5g68H0IkBNo https://s.mj.run/QDP9S8pLF3s https://s.mj.run/5JPPETIZpp4 https://s.mj.run/wjIxp9HJtdo https://s.mj.run/K6vqRPMutgA https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,vintage,mysterious,smooth,sports car,driving,retro futuristic,French coast,evening,"35mm, kodak portra, --ar 4:5, --style 1U48Gcm4I, --v 5.2",spy movie,"{
  ""palette"":""vintage"",
  ""mood"":""mysterious"",
  ""texture"":""smooth"",
  ""subject"":""sports car"",
  ""action"":""driving"",
  ""style_or_type"":""retro futuristic"",
  ""place"":""French coast"",
  ""time"":""evening"",
  ""parameters"":""35mm, kodak portra, --ar 4:5, --style 1U48Gcm4I, --v 5.2"",
  ""tension_note"":""spy movie""
}"
"https://s.mj.run/6QsWxNdilYM https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 35mm 70s fashion photography with a model wearing a retro futuristic helmet next to a motorcycle by the french coast early evening, kodak portra --ar 4:5 --style 9sPfmYx2eC6DUe6 --v 5.2",5.2,https://s.mj.run/6QsWxNdilYM https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL,,,vintage,nostalgic,film,model,posing,70s fashion,French coast,early evening,kodak portra,,"{
  ""palette"": ""vintage"",
  ""mood"": ""nostalgic"",
  ""texture"": ""film"",
  ""subject"": ""model"",
  ""action"": ""posing"",
  ""style_or_type"": ""70s fashion"",
  ""place"": ""French coast"",
  ""time"": ""early evening"",
  ""parameters"": ""kodak portra"",
  ""tension_note"": """"
}"
"https://s.mj.run/d5jy2DQ04Hg https://s.mj.run/YXTDK6q_yCc https://s.mj.run/ZIsgZQQETPM https://s.mj.run/nQJI5mbZ7ys https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 35mm 70s photography of a woman riding a retro futuristic motorcycle on the french coast early evening, kodak portra --ar 4:5 --style 8YUzBkdSv --v 5.2",5.2,https://s.mj.run/d5jy2DQ04Hg https://s.mj.run/YXTDK6q_yCc https://s.mj.run/ZIsgZQQETPM https://s.mj.run/nQJI5mbZ7ys https://s.mj.run/x1Xmq4tavzc https://s.mj.run/clmzmFnibY4 ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,vintage,nostalgic,film,woman,riding,70s photography,French coast,early evening,kodak portra,,"{
  ""palette"":""vintage"",
  ""mood"":""nostalgic"",
  ""texture"":""film"",
  ""subject"":""woman"",
  ""action"":""riding"",
  ""style_or_type"":""70s photography"",
  ""place"":""French coast"",
  ""time"":""early evening"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/5Byor18ou4k https://s.mj.run/7yYzbNM6cq8 a scanned and expired photograph of this fashion model with a mountain and waterfall behind in a jungle in Yves Klein blue, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/5Byor18ou4k https://s.mj.run/7yYzbNM6cq8 ,,,BROKEN_URL | BROKEN_URL,,,Yves Klein blue,nostalgic,scanned,fashion model,,expired photograph,jungle,,"35mm lens, --ar 4:5, --v 5.2",,"{
  ""palette"":""Yves Klein blue"",
  ""mood"":""nostalgic"",
  ""texture"":""scanned"",
  ""subject"":""fashion model"",
  ""action"":"""",
  ""style_or_type"":""expired photograph"",
  ""place"":""jungle"",
  ""time"":"""",
  ""parameters"":""35mm lens, --ar 4:5, --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/7vldGY72gvw https://s.mj.run/pB7TlafGI4Y https://s.mj.run/emWGWMAcEcA https://s.mj.run/yS0A4XeYhrw 70s still life shoot in studio with sculptures made of pearls, giant flowers and crystals, kodak portra --ar 4:5 --style 7syD2l8ylI --v 5.2",5.2,https://s.mj.run/7vldGY72gvw https://s.mj.run/pB7TlafGI4Y https://s.mj.run/emWGWMAcEcA https://s.mj.run/yS0A4XeYhrw ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,vibrant,nostalgic,smooth,sculptures,displayed,still life,studio,70s,--ar 4:5 --style 7syD2l8ylI --v 5.2,,"{
  ""palette"":""vibrant"",
  ""mood"":""nostalgic"",
  ""texture"":""smooth"",
  ""subject"":""sculptures"",
  ""action"":""displayed"",
  ""style_or_type"":""still life"",
  ""place"":""studio"",
  ""time"":""70s"",
  ""parameters"":""--ar 4:5 --style 7syD2l8ylI --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/JWMcRi1_a_8 https://s.mj.run/Pr5FNs44NaU nouvelle vague fashion shoot in a surreal palace, french retro, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/JWMcRi1_a_8 https://s.mj.run/Pr5FNs44NaU ,,,BROKEN_URL | BROKEN_URL,,,retro,surreal,,fashion,,nouvelle vague,palace,,--ar 4:5 --v 5.2,,"{
  ""palette"": ""retro"",
  ""mood"": ""surreal"",
  ""texture"": """",
  ""subject"": ""fashion"",
  ""action"": """",
  ""style_or_type"": ""nouvelle vague"",
  ""place"": ""palace"",
  ""time"": """",
  ""parameters"": ""--ar 4:5 --v 5.2"",
  ""tension_note"": """"
}"
"https://s.mj.run/Fb78GHXrzac https://s.mj.run/W8zOMyEnXh8 https://s.mj.run/z_ouZ6f_Zn0 https://s.mj.run/_lusLDYeQTg https://s.mj.run/-m9A0QtXGhs 70s photograph of an abstract art installation in a large hall, kodak portra --ar 4:5 --style zaCa8vYAvN --v 5.2",5.2,https://s.mj.run/Fb78GHXrzac https://s.mj.run/W8zOMyEnXh8 https://s.mj.run/z_ouZ6f_Zn0 https://s.mj.run/_lusLDYeQTg https://s.mj.run/-m9A0QtXGhs ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,,,,abstract art,,70s photograph,large hall,70s,"kodak portra, --ar 4:5, --style zaCa8vYAvN, --v 5.2",,"{
  ""palette"": """",
  ""mood"": """",
  ""texture"": """",
  ""subject"": ""abstract art"",
  ""action"": """",
  ""style_or_type"": ""70s photograph"",
  ""place"": ""large hall"",
  ""time"": ""70s"",
  ""parameters"": ""kodak portra, --ar 4:5, --style zaCa8vYAvN, --v 5.2"",
  ""tension_note"": """"
}"
"https://s.mj.run/pvlenPqwcQY https://s.mj.run/ULl3Qu34qbg https://s.mj.run/i4Zzk87GDEE an art installation with a room with mirroreed floors containing abstract organic shapes floating mid air, optical illusion, kodak portra --ar 4:5 --style 7faU9VOwVihMC4 --v 5.2",5.2,https://s.mj.run/pvlenPqwcQY https://s.mj.run/ULl3Qu34qbg https://s.mj.run/i4Zzk87GDEE ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL,,,vibrant,surreal,smooth,abstract shapes,floating,art installation,room,,--ar 4:5 --style 7faU9VOwVihMC4 --v 5.2,optical illusion,"{
  ""palette"": ""vibrant"",
  ""mood"": ""surreal"",
  ""texture"": ""smooth"",
  ""subject"": ""abstract shapes"",
  ""action"": ""floating"",
  ""style_or_type"": ""art installation"",
  ""place"": ""room"",
  ""time"": """",
  ""parameters"": ""--ar 4:5 --style 7faU9VOwVihMC4 --v 5.2"",
  ""tension_note"": ""optical illusion""
}"
"https://s.mj.run/LEa35RmPPQE https://s.mj.run/IVK-FFRfweA https://s.mj.run/ZDbKR1NsS08 https://s.mj.run/RiM4JjswsxM https://s.mj.run/efxmzHRYx9s https://s.mj.run/whvZz3roGlM https://s.mj.run/h3RULlwzjiY 70s photograph of imaginary burning flower in a mountainous landscape at dawn, kodak portra --ar 4:5 --style 1nbrekMNiR8whxtE --v 5.2",5.2,https://s.mj.run/LEa35RmPPQE https://s.mj.run/IVK-FFRfweA https://s.mj.run/ZDbKR1NsS08 https://s.mj.run/RiM4JjswsxM https://s.mj.run/efxmzHRYx9s https://s.mj.run/whvZz3roGlM https://s.mj.run/h3RULlwzjiY ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,warm,dreamy,soft,flower,burning,photograph,mountains,dawn,"kodak portra, --ar 4:5, --style 1nbrekMNiR8whxtE, --v 5.2",,"{
  ""palette"":""warm"",
  ""mood"":""dreamy"",
  ""texture"":""soft"",
  ""subject"":""flower"",
  ""action"":""burning"",
  ""style_or_type"":""photograph"",
  ""place"":""mountains"",
  ""time"":""dawn"",
  ""parameters"":""kodak portra, --ar 4:5, --style 1nbrekMNiR8whxtE, --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/ZDbKR1NsS08 https://s.mj.run/RiM4JjswsxM https://s.mj.run/efxmzHRYx9s https://s.mj.run/whvZz3roGlM https://s.mj.run/h3RULlwzjiY 70s photograph of imaginary flower with thin stem in a mountainous landscape at dawn, kodak portra --ar 4:5 --style lJwItNrSCOKRUm --v 5.2",5.2,https://s.mj.run/ZDbKR1NsS08 https://s.mj.run/RiM4JjswsxM https://s.mj.run/efxmzHRYx9s https://s.mj.run/whvZz3roGlM https://s.mj.run/h3RULlwzjiY ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,vibrant,serene,soft,flower,,photograph,mountains,dawn,Kodak Portra,,"{
  ""palette"":""vibrant"",
  ""mood"":""serene"",
  ""texture"":""soft"",
  ""subject"":""flower"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""mountains"",
  ""time"":""dawn"",
  ""parameters"":""Kodak Portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/JWMcRi1_a_8 https://s.mj.run/Pr5FNs44NaU 70s photograph of surreal sculptures in a mountainous landscape, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/JWMcRi1_a_8 https://s.mj.run/Pr5FNs44NaU ,,,BROKEN_URL | BROKEN_URL,,,,surreal,,sculptures,,photograph,mountains,70s,--ar 4:5 --v 5.2,,"{
  ""palette"": """",
  ""mood"": ""surreal"",
  ""texture"": """",
  ""subject"": ""sculptures"",
  ""action"": """",
  ""style_or_type"": ""photograph"",
  ""place"": ""mountains"",
  ""time"": ""70s"",
  ""parameters"": ""--ar 4:5 --v 5.2"",
  ""tension_note"": """"
}"
